Label,Collected Date,pH,TKP (mg P/L),TKN (mg N/L),16S,mcyA.M,mcyA.A,mcyA.P,year
7-21300005,2018-07-03 07:30:00,8.4,1.099,0.498,1960000,22300,0,0,2018
9-21500001,2018-07-18 07:00:00,8.68,0.89122965641953,0.179,10600000,9980,0,0,2018
3-21920001,2018-06-06 07:24:00,8.6,1.816,0.226,8340000,115000,0,0,2018
11-21130002,2018-07-31 08:30:00,9.09,0.238,0.249,1450000,0,0,0,2018
14-21940001,2018-08-20 07:00:00,8.2,1.049,0.172,4440000,33500,0,0,2018
10-21170001,2018-07-25 11:36:00,8.01,-0.12,0.126,3910000,43300,0,12300,2018
13-21130001,2018-08-14 09:45:00,8.6,1.004,0.334,7720000,61800,0,0,2018
10-21870001,2018-07-24 11:19:00,8.3,0.012,0.232,4310000,9780,0,0,2018
5-21130001,2018-06-19 09:18:00,7.08,0.953,0.661,2570000,13200,0,0,2018
4-21690001,2018-06-12 11:00:00,8.4,1.123,0.539,4140000,20900,0,20000,2018
4-21130002,2018-06-12 08:30:00,8.1,1.111,0.666,2890000,33600,0,0,2018
5-21690001,2018-06-19 11:30:00,8.4,0.978,0.473,2930000,15900,0,13000,2018
12-21130001,2018-08-07 09:00:00,8.09,0.735,-0.004,6330000,30800,0,0,2018
11-21620001,2018-08-01 13:00:00,9,0.163,0.25,11100000,58700,0,0,2018
9-21860001,2018-07-17 07:00:00,8.06,1.21947558770344,0.196,3690000,20000,0,0,2018
11-21170001,2018-08-01 10:45:00,8.3,0.209,0.198,3900000,33900,0,26000,2018
7-21130002,2018-07-02 08:30:00,8.3,1.047,0.56,1360000,4970,0,0,2018
3-21880001,2018-06-05 07:00:00,8.2,1.352,0.38,1280000,19200,0,0,2018
11-21500001,2018-08-01 07:00:00,8.4,0.087,0.195,1.41e+08,646000,0,0,2018
6-21170001,2018-06-27 11:40:00,9.1,1.189,0.267,1930000,4100,0,0,2018
7-21130001,2018-07-02 09:00:00,8.4,1.159,0.466,1310000,4350,0,0,2018
6-21130002,2018-06-26 08:40:00,8.03,1.259,0.438,1630000,10500,0,0,2018
7-21170001,2018-07-03 11:50:00,8.3,1.03,0.614,3740000,28400,0,0,2018
1-21920001,2018-05-23 06:58:00,8.6,1.16,0.474,2100000,32300,0,0,2018
14-21780001,2018-08-21 07:39:00,8.25,1.139,0.131,14800000,64900,0,0,2018
4-21880001,2018-06-12 07:15:00,7.5,1.2,0.921,836000,4140,0,0,2018
12-21870001,2018-08-07 11:15:00,9.1,0.732,-0.232,14900000,0,0,0,2018
13-21150001,2018-08-14 14:45:00,9,1.106,0.269,5520000,32200,0,76900,2018
13-21130002,2018-08-14 08:55:00,8.7,1.091,0.307,7740000,40400,0,0,2018
5-21520001,2018-06-19 13:30:00,9,1.007,0.367,0,0,0,0,2018
10-21590001,2018-07-25 08:45:00,8,-0.092,-0.017,4160000,0,0,0,2018
12-21500001,2018-08-08 07:00:00,8.3,0.741,-0.156,1.47e+08,639000,0,0,2018
13-21500001,2018-08-15 07:00:00,8.7,1.17,0.241,2.1e+07,116000,0,0,2018
6-21150001,2018-06-26 12:30:00,8.9,1.261,0.374,5540000,1150,0,0,2018
3-21170001,2018-06-06 12:50:00,8,1.752,0.219,2610000,37100,0,0,2018
5-21920001,2018-06-20 07:40:00,9,0.989,0.528,1760000,24100,0,0,2018
5-21590001,2018-06-20 09:00:00,8,1.008,0.28,3010000,799,0,0,2018
10-21300003,2018-07-25 08:50:00,8.3,0.008,0.136,163000,0,0,0,2018
9-21150001,2018-07-17 14:41:00,8.14,1.71349005424955,0.179,3600000,68600,0,22200,2018
13-21780001,2018-08-14 07:48:00,8.76,1.228,0.23,4590000,22900,0,0,2018
10-21830001,2018-07-24 12:15:00,8.9,0.098,0.223,2750000,12300,0,0,2018
1-21170001,2018-05-23 12:35:00,8.7,1.217,0.468,614000,4650,0,0,2018
12-21810002,2018-08-07 10:15:00,8.9,0.721,-0.229,2400000,30700,0,13600,2018
12-21940001,2018-08-07 07:00:00,8.8,0.751,-0.228,21300000,5510,0,0,2018
12-21130002,2018-08-07 08:30:00,9.01,0.789,-0.19,8400000,40800,0,0,2018
12-21830001,2018-08-07 11:43:00,9.36,0.774,-0.21,5230000,211000,0,0,2018
13-21300002,2018-08-15 08:40:00,8.2,1.021,0.329,20900000,48300,0,0,2018
15-21130001,2018-08-27 08:45:00,8.5,1.032,0.12,5070000,46700,0,0,2018
8-21300005,2018-07-11 08:00:00,8.5,1.232,0.476,2180000,19200,0,0,2018
15-21130002,2018-08-27 08:15:00,8.4,1.001,0.117,4260000,43100,0,0,2018
13-21070001,2018-08-14 08:45:00,9,1.1,0.316,8700000,32300,0,154000,2018
2-21170001,2018-05-30 13:30:00,8.1,1.274,0.471,1510000,27300,0,0,2018
1-21690001,2018-05-22 13:30:00,8.4,1.289,0.503,390000,1010,0,0,2018
13-21620001,2018-08-15 13:45:00,9.9,1.143,0.199,5400000,25800,0,0,2018
5-21810001,2018-06-19 11:32:00,7.99,1.042,0.461,5120000,48400,0,0,2018
6-21620001,2018-06-27 13:15:00,9.1,1.197,0.436,1560000,4920,0,0,2018
8-21810001,2018-07-10 10:45:00,8.8,1.218,0.508,3040000,37400,0,0,2018
12-21590001,2018-08-08 08:09:00,8.29,0.788,-0.225,15400000,0,0,0,2018
10-21420001,2018-07-25 08:54:00,8.13,0.059,0.146,4440000,0,0,0,2018
12-21810001,2018-08-07 10:55:00,8.9,0.75,-0.16,31400000,34800,0,0,2018
2-21670001,2018-05-29 09:50:00,8.2,1.259,0.486,2120000,544,0,0,2018
1-21170002,2018-05-23 14:00:00,8.7,1.328,0.536,782000,8770,0,0,2018
10-21780001,2018-07-24 07:45:00,7.9,0.093,0.158,16500000,16800,0,0,2018
12-21780001,2018-08-07 07:48:00,8.79,0.763,-0.236,17400000,23900,0,0,2018
5-21300003,2018-06-20 08:49:00,7.94,0.964,0.328,6750000,1880,0,0,2018
10-21670001,2018-07-24 10:15:00,8.2,0.023,0.193,2e+06,0,0,0,2018
11-21810001,2018-07-31 11:20:00,8.97,0.148,0.214,8420000,15700,0,0,2018
9-21170001,2018-07-18 11:36:00,8.14,1.14009945750452,0.153,5520000,48600,0,0,2018
12-21920001,2018-08-08 07:30:00,8.9,0.824,0.176,29100000,32000,0,0,2018
15-21500001,2018-08-29 07:10:00,8.4,0.995,0.164,0,0,0,0,2018
12-21890001,2018-08-08 09:20:00,8.4,0.776,-0.181,10600000,14000,0,0,2018
15-21890001,2018-08-27 10:00:00,8.2,1.086,-0.001,5820000,0,0,0,2018
9-21590001,2018-07-18 09:00:00,8.3,0.889421338155515,0.15,733000,0,0,0,2018
12-21300002,2018-08-08 09:15:00,8.86,0.74,-0.176,10500000,113000,0,0,2018
10-21300002,2018-07-25 08:00:00,8.3,0.064,0.162,7110000,41100,0,0,2018
5-21890001,2018-06-20 10:00:00,8.8,0.996,0.384,7300000,3230,0,0,2018
5-21860001,2018-06-19 07:15:00,8.8,0.994,0.468,5130000,105000,0,0,2018
12-21070001,2018-08-07 09:10:00,8.7,0.737,-0.225,7140000,31900,0,85400,2018
6-21810002,2018-06-26 11:32:00,8.35,1.177,0.316,3890000,46400,0,0,2018
10-21810002,2018-07-24 11:00:00,8.9,-0.055,0.184,14200000,108000,0,0,2018
15-21620001,2018-08-27 07:00:00,8.9,1.141,0.031,7270000,0,0,0,2018
5-21420001,2018-06-20 09:15:00,8.3,0.988,0.434,2740000,3580,0,0,2018
1-21810001,2018-05-22 14:00:00,8.1,1.593,0.504,1060000,50500,0,0,2018
6-21390001,2018-06-26 15:00:00,8.4,1.22,0.426,5760000,1520,0,0,2018
6-21860001,2018-06-26 07:00:00,7.8,1.234,0.537,3330000,44600,0,0,2018
13-21590001,2018-08-15 08:13:00,7.84,1.174,0.368,18700000,0,0,0,2018
15-21870001,2018-08-27 10:20:00,7.9,0.975,0.145,0,0,0,0,2018
