Label,Collected Date,pH,TKP (mg P/L),TKN (mg N/L),16S,mcyA.M,mcyA.A,mcyA.P,year
11-21300005,2019-07-31 00:00:00,8.2,0.389,16.908,6666420.40876173,1550029.15320632,0,0,2019
12-21300005,2019-08-07 00:00:00,8.3,0.067,1.356,4696880.2205876,1041864.68429768,0,0,2019
14-21300005,2019-08-21 00:00:00,8.53,0.097,1.234,1901837.30436436,126404.778970324,0,0,2019
15-21300005,2019-08-28 00:00:00,8.53,-0.436,1.064,3290014.090837,829794.151383309,0,0,2019
6-21810001,2019-06-25 00:00:00,8.66,0.209,0.352,2190625.77101956,242337.843140336,0,0,2019
7-21810001,2019-07-01 00:00:00,8.55,0.003,0.407,4923913.33528691,270835.657045462,0,0,2019
8-21810001,2019-07-09 00:00:00,8.31,0.033,1.093,372131.121672582,10476.8372840727,0,0,2019
9-21810001,2019-07-16 00:00:00,8.41,0.063,1.328,1994752.36436288,376674.159032682,0,0,2019
10-21810001,2019-07-23 00:00:00,8.51,0.463,2.246,5043291.37109372,60941.8938030192,0,0,2019
11-21810001,2019-07-30 00:00:00,8.3,0.462,3.558,5762855.78883696,68418.9580821374,0,0,2019
12-21810001,2019-08-06 00:00:00,8.5,0.224,1.978,13187381.3621232,0,0,0,2019
14-21810001,2019-08-20 00:00:00,8.5,0.137,1.938,2292697.1271602,0,0,0,2019
15-21810001,2019-08-27 00:00:00,8.5,-0.284,2.213,7235162.00964759,0,0,0,2019
13-21810001,2019-08-13 00:00:00,8.39,0.141,1.944,5518169.94883574,0,0,0,2019
6-21300004,2019-06-26 00:00:00,8.18,0.323,0.168,2073522.18831503,0,0,0,2019
7-21300004,2019-07-02 00:00:00,8.2,-0.022,0.184,723386.770457489,22038.151823922,0,0,2019
8-21300004,2019-07-10 00:00:00,8.25,0.082,0.541,3615674.34827818,0,0,0,2019
9-21300004,2019-07-17 00:00:00,8.07,-0.043,0.428,1936671.83056025,0,0,0,2019
10-21300004,2019-07-24 00:00:00,8.15,0.212,0.811,14985396.5886888,0,0,0,2019
11-21300004,2019-07-31 00:00:00,8.1,0.099,0.705,4876625.97349068,0,0,0,2019
12-21300004,2019-08-07 00:00:00,8.33,-0.022,0.67,1023256.87386728,0,0,0,2019
14-21300004,2019-08-21 00:00:00,8.5,0.055,0.766,1744690.44245487,0,0,0,2019
15-21300004,2019-08-28 00:00:00,8.5,-0.498,0.602,1564615.47741043,0,0,0,2019
13-21300004,2019-08-14 00:00:00,8.3,-0.016,0.732,317989.962263562,0,0,0,2019
6-21070001,2019-06-25 00:00:00,8.41,1.355,0.358,9101909.17814693,0,0,20252.3463457846,2019
7-21070001,2019-07-01 00:00:00,8.31,-0.019,0.471,2483529.93537153,0,0,63851.5031901512,2019
8-21070001,2019-07-09 00:00:00,8.6,0.115,0.833,722149.137822061,21306.6204838549,0,11579.3145514571,2019
9-21070001,2019-07-16 00:00:00,8.43,-0.046,0.572,4422520.55284658,55308.5978705532,0,43418.6770695923,2019
10-21070001,2019-07-23 00:00:00,8.29,0.203,1.784,9942842.74146863,0,0,20185.3296758976,2019
11-21070001,2019-07-30 00:00:00,8.21,0.113,1.64,2339893.63346767,64632.7189847669,0,7391.08214333094,2019
12-21070001,2019-08-06 00:00:00,8.37,0.023,1.229,2694522.67417593,106760.487911668,0,0,2019
14-21070001,2019-08-20 00:00:00,8.1,-0.001,0.909,608654.935907382,0,0,0,2019
15-21070001,2019-08-27 00:00:00,8.1,-0.449,1.452,3517464.81632346,0,0,14105.7919446623,2019
13-21070001,2019-08-13 00:00:00,8.36,0.068,1.561,432149.097631036,0,0,0,2019
6-21880001,2019-06-26 00:00:00,9.58,1.336,0.899,6223711.44607928,8216988.9320049,0,0,2019
7-21880001,2019-07-02 00:00:00,10.23,0.175,1.782,1788553.40861624,3238527.44731303,0,0,2019
8-21880001,2019-07-10 00:00:00,10.25,0.204,2.159,13111777.8229058,4461288.29075201,0,0,2019
9-21880001,2019-07-17 00:00:00,9.91,0.168,2.054,22748380.3997898,2926784.59856382,0,0,2019
10-21880001,2019-07-24 00:00:00,9.71,0.971,4.714,63467849.9038499,11424445.8105427,0,0,2019
11-21880001,2019-07-31 00:00:00,10.01,0.785,4.668,8763041.55121143,6751585.74233249,0,0,2019
12-21880001,2019-08-07 00:00:00,9.44,0.609,3.281,11657474.9560149,6128916.70870877,0,0,2019
14-21880001,2019-08-21 00:00:00,9.26,0.302,1.515,1174892.61723931,46615.0239330356,0,0,2019
15-21880001,2019-08-28 00:00:00,9.26,0.046,2.306,7019925.83912828,4916230.91303052,0,0,2019
13-21880001,2019-08-14 00:00:00,9.34,0.464,1.773,1705969.20986604,1271632.52732339,0,0,2019
6-21300001,2019-06-26 00:00:00,8.39,0.076,0.178,1499818.69819182,0,0,0,2019
7-21300001,2019-07-02 00:00:00,8.19,0.007,0.21,917475.76042498,37935.3640985466,0,0,2019
8-21300001,2019-07-10 00:00:00,8.17,0.06,0.877,941692.989133324,0,0,0,2019
9-21300001,2019-07-17 00:00:00,8.25,-0.072,0.296,2398534.09700117,0,0,0,2019
10-21300001,2019-07-24 00:00:00,8.45,0.128,0.45,9795483.94659851,53655.8485630414,0,0,2019
11-21300001,2019-07-31 00:00:00,8.1,0.042,0.825,2325975.12982502,108911.604081009,0,0,2019
12-21300001,2019-08-07 00:00:00,8.33,0.06,0.792,2264121.55265537,47170.8958043477,0,0,2019
14-21300001,2019-08-21 00:00:00,8.2,-0.04,0.574,681809.32392426,0,0,0,2019
15-21300001,2019-08-28 00:00:00,8.2,-0.529,0.622,2149471.031842,56715.1066928791,0,0,2019
13-21300001,2019-08-14 00:00:00,8.28,0.042,0.751,736339.589316199,24975.8356286621,0,0,2019
6-21040001,2019-06-26 00:00:00,7.9,0.484,0.261,811455.708651985,0,0,0,2019
7-21040001,2019-07-02 00:00:00,8.2,0.041,0.316,0,17036.0055323095,0,0,2019
8-21040001,2019-07-10 00:00:00,8.91,0.138,1.054,4805972.50229194,173736.040863135,0,0,2019
9-21040001,2019-07-17 00:00:00,8.4,0.119,1.128,7452652.18653317,322720.065439973,0,0,2019
10-21040001,2019-07-24 00:00:00,8.4,0.366,1.877,17648108.2691869,404579.910712129,0,0,2019
11-21040001,2019-07-31 00:00:00,8.93,0.355,2.794,4999762.46449982,1040094.18032327,0,0,2019
12-21040001,2019-08-07 00:00:00,9.33,0.513,6.287,8406035.23641182,1394999.96900079,0,0,2019
14-21040001,2019-08-21 00:00:00,8.61,0.078,1.983,1790990.53146434,0,0,0,2019
15-21040001,2019-08-28 00:00:00,8.61,-0.408,1.15,1662879.6408096,87511.6687817536,0,0,2019
13-21040001,2019-08-14 00:00:00,8.3,-0.012,1.02,691979.504130469,0,0,0,2019
6-21890001,2019-06-26 00:00:00,7.42,0.132,0.265,1018569.77185049,0,0,0,2019
7-21890001,2019-07-02 00:00:00,7.71,-0.032,0.177,762693.328623864,0,0,0,2019
8-21890001,2019-07-10 00:00:00,7.92,0.069,0.462,2110804.69333305,0,0,0,2019
9-21890001,2019-07-17 00:00:00,7.84,-0.035,0.39,7530931.60753744,0,0,0,2019
10-21890001,2019-07-24 00:00:00,8.17,0.269,0.626,5717448.75689525,14355.199909693,0,0,2019
11-21890001,2019-07-31 00:00:00,8.34,0.145,0.676,2550516.79927305,0,0,0,2019
12-21890001,2019-08-06 00:00:00,8.22,0.007,0.619,1373742.44019708,0,0,0,2019
14-21890001,2019-08-21 00:00:00,7.86,-0.006,0.445,388493.297649661,0,0,0,2019
15-21890001,2019-08-28 00:00:00,7.86,0.061,2.417,1305805.470355,0,0,0,2019
13-21890001,2019-08-14 00:00:00,8.26,0.056,0.613,752239.306164404,0,0,0,2019
6-21910001,2019-06-26 00:00:00,8.8,0.26,0.281,2290984.53514543,0,0,0,2019
7-21910001,2019-07-02 00:00:00,9,-0.009,0.432,484965.196826728,0,0,0,2019
8-21910001,2019-07-10 00:00:00,9.11,0.047,1.097,4991457.05433236,0,0,0,2019
9-21910001,2019-07-17 00:00:00,8.86,0.004,0.834,9551706.18591961,0,0,0,2019
10-21910001,2019-07-24 00:00:00,8.03,0.279,1.433,20486978.7954952,0,0,0,2019
11-21910001,2019-07-31 00:00:00,8.48,0.179,1.27,7738263.53323286,0,0,0,2019
12-21910001,2019-08-07 00:00:00,8.97,0.097,1.133,2342146.83237811,0,0,0,2019
14-21910001,2019-08-21 00:00:00,8.49,0.067,1.115,535617.559254741,0,0,0,2019
15-21910001,2019-08-28 00:00:00,8.49,-0.463,1.117,2336106.11410399,0,0,0,2019
13-21910001,2019-08-14 00:00:00,8.9,0.043,1.364,560313.409888901,0,0,0,2019
6-21150001,2019-06-26 00:00:00,8.66,0.089,0.152,3827655.48517883,0,0,0,2019
7-21150001,2019-07-02 00:00:00,9.08,-0.006,0.28,552656.99264938,16175.0214190602,0,0,2019
8-21150001,2019-07-10 00:00:00,8.37,0.118,0.618,8079198.68457729,0,0,0,2019
9-21150001,2019-07-17 00:00:00,8.41,-0.022,0.791,5833993.42600868,38794.1131084139,0,0,2019
10-21150001,2019-07-24 00:00:00,8.41,0.255,1.685,23363598.928317,222373.213896789,0,0,2019
11-21150001,2019-07-31 00:00:00,9.81,0.166,1.468,4443116.50016709,103836.34655051,0,0,2019
12-21150001,2019-08-07 00:00:00,8.06,0.022,1.406,868291.552501569,27450.5745472054,0,16286.9775354429,2019
14-21150001,2019-08-21 00:00:00,7.94,0.019,1.496,303661.070691448,0,0,17198.815578579,2019
15-21150001,2019-08-28 00:00:00,7.94,-0.435,1.189,4105585.99483761,110350.400527597,0,304984.661495657,2019
13-21150001,2019-08-14 00:00:00,9.06,0.256,1.708,560471.770452771,0,0,0,2019
6-21920001,2019-06-26 00:00:00,8.71,0.663,1.903,6366303.55366431,2688795.64464788,0,0,2019
7-21920001,2019-07-02 00:00:00,9.15,0.169,1.129,1428371.71107239,1122138.84074139,0,0,2019
8-21920001,2019-07-10 00:00:00,9.28,0.184,2.142,9172257.30425591,3530581.30503654,0,0,2019
9-21920001,2019-07-17 00:00:00,10.21,0.06,1.516,27376841.3538486,4174093.86274729,0,0,2019
10-21920001,2019-07-24 00:00:00,9.71,0.543,2.43,40747297.7689723,5248329.30763646,0,0,2019
11-21920001,2019-07-31 00:00:00,9.31,2.655,8.53,27050059.2196423,1493096.83532847,0,0,2019
12-21920001,2019-08-06 00:00:00,9.44,0.585,2.632,3188580.52460129,573818.506616868,0,0,2019
14-21920001,2019-08-21 00:00:00,9.19,0.347,1.42,746376.819488939,0,0,0,2019
15-21920001,2019-08-28 00:00:00,9.19,-0.298,2.65,2310576.48595356,865106.210931483,0,0,2019
13-21920001,2019-08-14 00:00:00,9.4,0.451,2.496,1284688.8693264,475674.401771738,0,0,2019
6-21620001,2019-06-26 00:00:00,9.42,0.276,2.594,1741722.53018137,144152.182066489,0,0,2019
7-21620001,2019-07-02 00:00:00,8.81,0.016,0.508,0,65145.0775068055,0,0,2019
8-21620001,2019-07-10 00:00:00,9.46,0.027,1.401,2559803.41998556,120798.047004396,0,0,2019
9-21620001,2019-07-17 00:00:00,9.09,0.076,1.679,1766479.28281297,99761.6054070324,0,0,2019
10-21620001,2019-07-24 00:00:00,10.03,0.58,4.193,12125662.8722425,390548.100759446,0,0,2019
11-21620001,2019-07-31 00:00:00,9.01,0.601,6.365,3376381.70409184,1212418.16449882,0,0,2019
12-21620001,2019-08-06 00:00:00,9.44,0.231,2.266,1079676.44264004,313921.847976606,0,0,2019
14-21620001,2019-08-21 00:00:00,9.02,0.263,2.864,1090910.72686339,0,0,0,2019
15-21620001,2019-08-28 00:00:00,9.02,2.329,24.91,5513531.93808096,858050.220343468,0,0,2019
13-21620001,2019-08-14 00:00:00,9.31,0.204,2.056,437511.496722634,244354.622701254,0,0,2019
6-21520001,2019-06-25 00:00:00,8.4,0.052,0.193,22120411.7752733,943322.605199604,0,0,2019
7-21520001,2019-07-01 00:00:00,8.71,-0.028,0.464,2220544.55440264,282193.699618965,0,0,2019
8-21520001,2019-07-09 00:00:00,8.94,0.06,0.637,345668.694975107,77804.7888721184,0,0,2019
9-21520001,2019-07-16 00:00:00,8.92,-0.018,0.642,3440663.41215695,44855.5923071602,0,0,2019
10-21520001,2019-07-23 00:00:00,9.13,0.244,2.892,6616304.19219837,53322.6154903429,0,0,2019
11-21520001,2019-07-30 00:00:00,9.21,0.189,2.336,2804657.54541529,0,0,0,2019
12-21520001,2019-08-06 00:00:00,9.26,0.044,1.298,4408112.43560881,0,0,0,2019
14-21520001,2019-08-20 00:00:00,8.71,0.105,1.078,222400.787146261,0,0,0,2019
15-21520001,2019-08-27 00:00:00,8.71,-0.467,1.1,3042946.79534662,0,0,0,2019
13-21520001,2019-08-13 00:00:00,8.78,0.097,1.471,939001.967319106,0,0,0,2019
6-21780001,2019-06-25 00:00:00,8.48,0.191,0.234,4652153.54638348,0,0,0,2019
7-21780001,2019-07-01 00:00:00,8.32,-0.01,0.374,5926430.51611573,0,0,0,2019
8-21780001,2019-07-09 00:00:00,8.3,-0.008,0.631,984813.065946972,0,0,0,2019
9-21780001,2019-07-16 00:00:00,8.1,-0.034,0.643,857483.861064438,0,0,0,2019
10-21780001,2019-07-23 00:00:00,8.51,0.245,1.876,8732810.42442499,0,0,0,2019
11-21780001,2019-07-30 00:00:00,8.62,0.36,3.249,1340727.58907239,0,0,0,2019
12-21780001,2019-08-07 00:00:00,8.59,0.121,2.218,6323426.84517128,0,0,0,2019
14-21780001,2019-08-20 00:00:00,8.46,0.116,1.849,1193048.67758138,0,0,0,2019
15-21780001,2019-08-27 00:00:00,8.46,-0.342,2.236,7473110.931241,0,0,0,2019
13-21780001,2019-08-13 00:00:00,8.37,0.071,2.229,1109988.29903933,0,0,0,2019
6-21870001,2019-06-26 00:00:00,10.26,0.641,0.793,6541765.16139558,997989.590429442,0,0,2019
7-21870001,2019-07-02 00:00:00,10.11,0.066,0.971,1548234.47038526,375857.74947186,0,0,2019
8-21870001,2019-07-10 00:00:00,9.9,0.231,2.45,7244674.37664337,1457969.9750763,0,0,2019
9-21870001,2019-07-17 00:00:00,8.82,0.034,2.736,10143468.6325034,2273699.66438057,0,0,2019
10-21870001,2019-07-24 00:00:00,9.65,0.323,3.649,13559330.1811284,2401253.93034459,0,0,2019
11-21870001,2019-07-31 00:00:00,9.84,0.161,3.299,6024707.40719147,3247682.10196205,0,0,2019
12-21870001,2019-08-07 00:00:00,9.17,0.021,2.111,4200602.22155392,1398590.20473657,0,0,2019
14-21870001,2019-08-21 00:00:00,8.98,0.199,1.879,798742.826381371,64038.5336589482,0,0,2019
15-21870001,2019-08-28 00:00:00,8.98,-0.427,1.817,3651177.3224156,222267.487407222,0,0,2019
13-21870001,2019-08-14 00:00:00,8.39,0.103,1.786,1115901.28966835,865264.509779544,0,0,2019
6-21260001,2019-06-26 00:00:00,7.64,0.107,0.385,1601350.76133631,0,0,0,2019
7-21260001,2019-07-02 00:00:00,8.34,-0.101,0.353,558227.87870522,0,0,0,2019
8-21260001,2019-07-10 00:00:00,8.91,0.006,1.019,2650245.67707137,0,0,0,2019
9-21260001,2019-07-17 00:00:00,8.69,0.094,0.934,2421251.97924493,0,0,0,2019
10-21260001,2019-07-24 00:00:00,8.37,0.136,1.184,5933610.65452496,0,0,0,2019
11-21260001,2019-07-31 00:00:00,8.21,-0.081,0.868,2245486.97207471,0,0,0,2019
12-21260001,2019-08-06 00:00:00,8.48,0.016,1.06,871631.135040093,0,0,0,2019
14-21260001,2019-08-21 00:00:00,7.49,0.156,1.085,45278.469837436,0,0,0,2019
15-21260001,2019-08-28 00:00:00,7.49,-0.499,0.839,1820534.45849278,0,0,0,2019
13-21260001,2019-08-14 00:00:00,8.45,0.006,1.365,262670.376778434,0,0,0,2019
6-21670001,2019-06-25 00:00:00,8.45,0.235,0.453,13457665.8257317,73842.047356113,0,0,2019
7-21670001,2019-07-01 00:00:00,8.29,0.019,0.522,2183077.38064947,0,0,0,2019
8-21670001,2019-07-09 00:00:00,8.5,0.141,0.947,990476.053311629,0,0,0,2019
9-21670001,2019-07-16 00:00:00,8.03,0.004,0.681,10185850.9018167,0,0,0,2019
10-21670001,2019-07-23 00:00:00,8.24,0.371,1.243,10765273.3552571,0,0,0,2019
11-21670001,2019-07-30 00:00:00,8.46,0.137,0.907,2406012.25766834,0,0,0,2019
12-21670001,2019-08-07 00:00:00,8.32,0.014,1.133,8139342.99954032,0,0,0,2019
14-21670001,2019-08-20 00:00:00,8.43,0.113,0.993,752300.091692351,0,0,0,2019
15-21670001,2019-08-27 00:00:00,8.43,-0.212,2.011,14279874.6553455,0,0,0,2019
13-21670001,2019-08-13 00:00:00,7.91,0.139,1.472,638729.798295117,0,0,0,2019
6-21420001,2019-06-25 00:00:00,8.4,0.202,0.194,1867870.77982421,0,0,0,2019
7-21420001,2019-07-01 00:00:00,8.5,0.019,0.287,0,0,0,0,2019
8-21420001,2019-07-09 00:00:00,8.18,0.113,0.644,0,0,0,0,2019
9-21420001,2019-07-16 00:00:00,8.8,-0.014,0.504,5073549.02846967,0,0,0,2019
10-21420001,2019-07-23 00:00:00,7.9,0.323,1.026,3872928.14652043,0,0,0,2019
11-21420001,2019-07-30 00:00:00,8.47,0.138,1.346,1780053.55651974,0,0,0,2019
12-21420001,2019-08-06 00:00:00,8.17,0.078,1.425,2364202.37994642,19759.4713205218,0,0,2019
14-21420001,2019-08-20 00:00:00,8.54,0.107,1.547,237686.955772007,0,0,0,2019
15-21420001,2019-08-27 00:00:00,8.54,-0.359,2.399,2156813.4680434,0,0,0,2019
13-21420001,2019-08-13 00:00:00,8.6,0.126,1.963,1121009.28491208,0,0,0,2019
6-21170002,2019-06-25 00:00:00,8.7,0.323,0.533,1937557.53886119,857117.074054997,0,0,2019
7-21170002,2019-07-01 00:00:00,8.3,-0.036,0.463,4771137.9773705,356465.601034811,0,0,2019
8-21170002,2019-07-09 00:00:00,7.91,0.051,0.772,663746.062989347,175812.699520427,0,0,2019
9-21170002,2019-07-16 00:00:00,8.55,0.041,1.144,7251691.98159938,236665.392757596,0,0,2019
10-21170002,2019-07-23 00:00:00,8.9,0.328,2.259,10984715.5077348,661507.557741187,0,0,2019
11-21170002,2019-07-30 00:00:00,8.81,0.151,2.673,1612594.69180784,553594.668607892,0,0,2019
12-21170002,2019-08-06 00:00:00,8.71,0.038,2.078,4810218.88716295,720328.948275325,0,0,2019
14-21170002,2019-08-20 00:00:00,8.57,0.116,1.692,1292271.68612748,49070.2442266503,0,0,2019
15-21170002,2019-08-27 00:00:00,8.57,-0.319,2.903,2721840.16017973,322711.791076804,0,0,2019
13-21170002,2019-08-13 00:00:00,8.93,0.203,2.865,2114392.19034168,66605.0904316642,0,0,2019
6-21270001,2019-06-26 00:00:00,8.7,0.022,0.191,745601.371266501,0,0,0,2019
7-21270001,2019-07-02 00:00:00,9.2,0.019,0.152,293722.512607057,0,0,0,2019
8-21270001,2019-07-10 00:00:00,8.2,-0.007,0.225,1700465.41403044,0,0,0,2019
9-21270001,2019-07-17 00:00:00,8.34,-0.011,0.221,2916546.64014799,0,0,0,2019
10-21270001,2019-07-24 00:00:00,8.15,0.119,0.623,3595599.14206129,0,0,0,2019
11-21270001,2019-07-31 00:00:00,8.4,0.085,0.737,1101811.36628913,0,0,0,2019
12-21270001,2019-08-07 00:00:00,7.54,0.074,0.401,1246760.06194119,0,0,0,2019
14-21270001,2019-08-21 00:00:00,8.35,0.249,0.332,597584.804145457,0,0,0,2019
15-21270001,2019-08-28 00:00:00,8.35,-0.517,0.483,1096152.82942089,0,0,0,2019
13-21270001,2019-08-14 00:00:00,7.9,-0.078,0.674,490646.303096032,0,0,0,2019
6-21130002,2019-06-25 00:00:00,7.89,0.168,0.466,10293416.4887738,105318.128800183,0,0,2019
7-21130002,2019-07-01 00:00:00,7.76,0.001,0.697,2106219.31115909,113143.780550939,0,0,2019
8-21130002,2019-07-09 00:00:00,8.12,-0.013,1.754,389815.49644502,50310.1037575638,0,0,2019
9-21130002,2019-07-16 00:00:00,7.91,0.014,1.498,3372544.71945486,97313.1027531667,0,0,2019
10-21130002,2019-07-23 00:00:00,8.12,0.692,2.871,21699101.0748308,1310564.73827423,0,0,2019
11-21130002,2019-07-30 00:00:00,7.8,0.225,4.353,2868320.6391418,469130.423822587,0,0,2019
12-21130002,2019-08-06 00:00:00,8.21,0.093,1.997,6257029.797772,601815.994741062,0,0,2019
14-21130002,2019-08-20 00:00:00,8.3,0.088,1.629,1110230.29930212,0,0,0,2019
15-21130002,2019-08-27 00:00:00,8.3,-0.386,1.629,4070989.60752867,139864.382904055,0,0,2019
13-21130002,2019-08-13 00:00:00,8.39,0.144,1.675,1864300.84500018,0,0,0,2019
6-21130001,2019-06-25 00:00:00,7.97,0.123,0.525,12032904.2056463,107352.907280678,0,0,2019
7-21130001,2019-07-01 00:00:00,7.68,0.013,0.87,2510042.42107613,204925.868294322,0,0,2019
8-21130001,2019-07-09 00:00:00,8.2,0.044,1.539,478193.863602726,15630.8263517355,0,0,2019
9-21130001,2019-07-16 00:00:00,7.86,-0.008,1.45,4594107.12844506,121342.414603801,0,0,2019
10-21130001,2019-07-23 00:00:00,8.23,0.261,4.763,20327205.5198795,157496.989841824,0,0,2019
11-21130001,2019-07-30 00:00:00,8.1,0.141,4.104,6824330.56609728,311245.736812602,0,0,2019
12-21130001,2019-08-06 00:00:00,8.26,0.26,2.358,6875360.30944084,193414.514388426,0,0,2019
14-21130001,2019-08-20 00:00:00,8.5,0.145,1.606,861468.055623018,0,0,0,2019
15-21130001,2019-08-27 00:00:00,8.5,-0.403,1.574,3983000.47470674,220641.982258774,0,0,2019
13-21130001,2019-08-13 00:00:00,8.49,0.169,1.82,1748230.20247715,0,0,0,2019
6-21300002,2019-06-26 00:00:00,8.24,0.068,0.209,1297632.81970934,0,0,0,2019
7-21300002,2019-07-02 00:00:00,8.3,0.112,0.564,422454.292562583,76149.4199371041,0,0,2019
8-21300002,2019-07-10 00:00:00,8.24,0.024,0.396,5092988.78598792,53204.9429456537,0,0,2019
9-21300002,2019-07-17 00:00:00,8.15,-0.045,0.365,2906571.81002989,107424.064489612,0,0,2019
10-21300002,2019-07-24 00:00:00,8.21,0.1,0.691,10086977.7792219,236088.432525014,0,0,2019
11-21300002,2019-07-31 00:00:00,8.14,0.025,1.115,2252979.50679798,209163.409678424,0,0,2019
12-21300002,2019-08-07 00:00:00,8.18,0.227,0.741,1200695.7492268,74509.3900949756,0,0,2019
14-21300002,2019-08-21 00:00:00,8.2,0.073,0.611,339600.234591054,0,0,0,2019
15-21300002,2019-08-28 00:00:00,8.2,-0.527,0.635,1129386.19062233,79559.5106146601,0,0,2019
13-21300002,2019-08-14 00:00:00,8.25,0.031,0.802,539436.592889595,0,0,0,2019
6-21570001,2019-06-25 00:00:00,8.4,0.011,0.122,15730898.3458887,0,0,0,2019
7-21570001,2019-07-01 00:00:00,8.42,-0.084,0.235,3587575.55728057,0,0,0,2019
8-21570001,2019-07-09 00:00:00,8.3,0.014,0.436,0,0,0,0,2019
9-21570001,2019-07-16 00:00:00,7.82,-0.007,0.423,2989312.64843099,0,0,0,2019
10-21570001,2019-07-23 00:00:00,9.03,0.242,0.894,6394321.55824509,0,0,0,2019
11-21570001,2019-07-30 00:00:00,8.31,0.192,1.484,2395879.56355719,0,0,0,2019
12-21570001,2019-08-06 00:00:00,8.11,0.096,1.104,4937357.34097284,0,0,0,2019
14-21570001,2019-08-20 00:00:00,7.86,0.015,0.634,448107.192665781,0,0,0,2019
15-21570001,2019-08-27 00:00:00,7.86,-0.458,0.851,3798040.32442788,0,0,0,2019
13-21570001,2019-08-13 00:00:00,8.03,0.026,0.864,564020.965418706,0,0,0,2019
6-21830001,2019-06-25 00:00:00,8.79,0.097,0.222,2308606.50993267,141567.099676553,0,0,2019
7-21830001,2019-07-01 00:00:00,9.13,0.048,0.392,3997691.94826884,370306.824709955,0,0,2019
8-21830001,2019-07-09 00:00:00,9.3,0.067,0.665,1192785.97751517,484964.083155889,0,0,2019
9-21830001,2019-07-16 00:00:00,8.81,-0.04,0.356,3761453.39249251,164436.188090399,0,0,2019
10-21830001,2019-07-23 00:00:00,8.81,0.336,1.058,4217151.9949598,62799.529529527,0,0,2019
11-21830001,2019-07-30 00:00:00,9.15,0.315,1.884,1566067.26606094,0,0,0,2019
12-21830001,2019-08-07 00:00:00,9.38,0.472,1.996,1724765.35244734,89555.7390339355,0,0,2019
14-21830001,2019-08-20 00:00:00,9.07,-0.017,1.009,1234507.28762197,0,0,0,2019
15-21830001,2019-08-27 00:00:00,9.07,-0.429,0.989,2999524.99530657,58757.7136748595,0,0,2019
13-21830001,2019-08-13 00:00:00,8.91,0.061,1.334,773282.841165438,0,0,0,2019
6-21590001,2019-06-26 00:00:00,8.7,0.051,0.313,3124772.62744735,0,0,0,2019
7-21590001,2019-07-02 00:00:00,7.9,0.018,3.01,0,0,0,0,2019
8-21590001,2019-07-10 00:00:00,8.36,0.22,1.097,3145036.66742479,0,0,0,2019
9-21590001,2019-07-17 00:00:00,8.6,-0.036,0.619,2035126.82218569,0,0,0,2019
10-21590001,2019-07-24 00:00:00,8,0.166,1.249,3867276.17685252,0,0,0,2019
11-21590001,2019-07-31 00:00:00,7.88,0.081,1.131,1812949.44731662,0,0,0,2019
12-21590001,2019-08-07 00:00:00,8.27,-0.014,0.892,2454280.25223005,0,0,0,2019
14-21590001,2019-08-21 00:00:00,7.59,0.105,0.871,290230.833004608,0,0,0,2019
15-21590001,2019-08-28 00:00:00,7.59,-0.503,0.521,3873587.71839877,0,0,0,2019
13-21590001,2019-08-14 00:00:00,7.9,0.062,1.174,490292.198459278,0,0,0,2019
6-21500001,2019-06-25 00:00:00,8.4,0.177,0.346,1591173.62705081,0,0,0,2019
7-21500001,2019-07-01 00:00:00,8.3,0.009,0.439,0,0,0,0,2019
8-21500001,2019-07-09 00:00:00,8.32,0.099,0.822,0,11873.9385376093,0,0,2019
9-21500001,2019-07-16 00:00:00,8.1,0.061,1.17,4359068.68718058,42735.5158656004,0,0,2019
10-21500001,2019-07-23 00:00:00,8.2,0.406,1.868,27437308.1087926,152294.169250911,0,0,2019
11-21500001,2019-07-30 00:00:00,8.19,0.276,2.656,7221757.04908291,396235.173181505,0,0,2019
12-21500001,2019-08-06 00:00:00,7.98,0.17,1.78,2939182.43788328,0,0,0,2019
14-21500001,2019-08-20 00:00:00,7.91,-0.037,1.198,1733999.04702975,0,0,0,2019
15-21500001,2019-08-27 00:00:00,7.91,-0.301,1.779,4837506.4116347,0,0,0,2019
13-21500001,2019-08-13 00:00:00,7.9,0.152,2.256,1273416.91795531,0,0,0,2019
6-21390001,2019-06-25 00:00:00,8.67,0.182,0.261,5971194.12932206,0,0,0,2019
7-21390001,2019-07-01 00:00:00,8.96,-0.059,0.49,4141440.05349576,0,0,0,2019
8-21390001,2019-07-09 00:00:00,8.6,0.006,0.828,1882289.64748309,0,0,0,2019
9-21390001,2019-07-16 00:00:00,8.71,0.005,1.012,3253916.86080741,0,0,0,2019
10-21390001,2019-07-23 00:00:00,8.61,0.204,1.658,4246335.90756373,0,0,0,2019
11-21390001,2019-07-30 00:00:00,8.67,0.201,2.363,1064702.4017404,0,0,0,2019
12-21390001,2019-08-07 00:00:00,8.65,0.051,1.697,2007846.26260269,0,0,0,2019
14-21390001,2019-08-20 00:00:00,8.26,0.069,1.004,1266814.81372054,0,0,0,2019
15-21390001,2019-08-27 00:00:00,8.26,-0.472,0.674,4089657.75289398,58812.7222931119,0,40871.7273353986,2019
13-21390001,2019-08-13 00:00:00,8.79,0.04,1.272,686902.304904203,0,0,0,2019
6-21300003,2019-06-26 00:00:00,8.39,0.065,0.158,2124202.63181784,144056.930166746,0,0,2019
